nomeLocalidade,estado,Cidade tem Aluno,Probabilidade
paty do alferes,Rio de Janeiro,Não,0.0
quissamã,Rio de Janeiro,Não,0.0
queimados,Rio de Janeiro,Não,0.0
quatis,Rio de Janeiro,Não,0.0
porto real,Rio de Janeiro,Não,0.0
porciúncula,Rio de Janeiro,Não,0.0
portalegre,Rio Grande do Norte,Não,0.0
petrópolis,Rio de Janeiro,Não,0.0
italva,Rio de Janeiro,Não,0.0
itaguaí,Rio de Janeiro,Não,0.0
itaboraí,Rio de Janeiro,Não,0.0
vila nova do piauí,Piauí,Não,0.0
barra do piraí,Rio de Janeiro,Não,0.0
arraial do cabo,Rio de Janeiro,Não,0.0
armação dos búzios,Rio de Janeiro,Não,0.0
areal,Rio de Janeiro,Não,0.0
araruama,Rio de Janeiro,Não,0.0
aperibé,Rio de Janeiro,Não,0.0
wall ferraz,Piauí,Não,0.0
vera mendes,Piauí,Não,0.0
belford roxo,Rio de Janeiro,Não,0.0
várzea grande,Piauí,Não,0.0
várzea branca,Piauí,Não,0.0
valença do piauí,Piauí,Não,0.0
uruçuí,Piauí,Não,0.0
união,Piauí,Não,0.0
teresina,Piauí,Não,0.0
tanque do piauí,Piauí,Não,0.0
barra mansa,Rio de Janeiro,Não,0.0
bom jardim,Rio de Janeiro,Não,0.0
iguaba grande,Rio de Janeiro,Não,0.0
casimiro de abreu,Rio de Janeiro,Não,0.0
guapimirim,Rio de Janeiro,Não,0.0
engenheiro paulo de frontin,Rio de Janeiro,Não,0.0
duque de caxias,Rio de Janeiro,Não,0.0
duas barras,Rio de Janeiro,Não,0.0
cordeiro,Rio de Janeiro,Não,0.0
conceição de macabu,Rio de Janeiro,Não,0.0
comendador levy gasparian,Rio de Janeiro,Não,0.0
carmo,Rio de Janeiro,Não,0.0
bom jesus do itabapoana,Rio de Janeiro,Não,0.0
cardoso moreira,Rio de Janeiro,Não,0.0
carapebus,Rio de Janeiro,Não,0.0
cantagalo,Rio de Janeiro,Não,0.0
campos dos goytacazes,Rio de Janeiro,Não,0.0
cambuci,Rio de Janeiro,Não,0.0
cachoeiras de macacu,Rio de Janeiro,Não,0.0
