nomeLocalidade,estado,Cidade tem Aluno,Probabilidade
mirandópolis,São Paulo,Não,0.00032423454
terra roxa,Paraná,Não,0.00032129837
louveira,São Paulo,Não,0.00031761598
apucarana,Paraná,Não,0.0003174449
rifaina,São Paulo,Não,0.00031509335
penha,Santa Catarina,Não,0.00031489547
carpina,Pernambuco,Não,0.00031270378
mangueirinha,Paraná,Não,0.00031088572
união da vitória,Paraná,Não,0.00030870046
santarém,Pará,Não,0.0003086319
três marias,Minas Gerais,Não,0.0003061199
são cristóvão,Sergipe,Não,0.00030573987
marechal cândido rondon,Paraná,Não,0.00030363444
santa rita,Paraíba,Não,0.0003036275
caetanópolis,Minas Gerais,Não,0.00029959576
campo belo,Minas Gerais,Não,0.000299431
pedra preta,Mato Grosso,Não,0.00029806956
crato,Ceará,Não,0.00029582198
buritama,São Paulo,Não,0.00029415396
barra do garças,Mato Grosso,Não,0.0002937647
lagoa da prata,Minas Gerais,Não,0.00029280028
carapicuíba,São Paulo,Não,0.00029093953
japaratuba,Sergipe,Não,0.00029067477
sarandi,Rio Grande do Sul,Não,0.00028850822
jandaia do sul,Paraná,Não,0.000285399
ubá,Minas Gerais,Não,0.000285114
feliz,Rio Grande do Sul,Não,0.0002828578
belo jardim,Pernambuco,Não,0.00028259796
borda da mata,Minas Gerais,Não,0.0002808802
cotiporã,Rio Grande do Sul,Não,0.00028028473
anicuns,Goiás,Não,0.00027812933
forquilhinha,Santa Catarina,Não,0.00027597707
floreal,São Paulo,Não,0.000275434
guaramirim,Santa Catarina,Não,0.0002744345
jeceaba,Minas Gerais,Não,0.00027421195
jarinu,São Paulo,Não,0.00027398407
guarujá,São Paulo,Não,0.00027281657
nova araçá,Rio Grande do Sul,Não,0.00027245784
nova mutum,Mato Grosso,Não,0.00026932737
pacatuba,Ceará,Não,0.00026576567
ibirité,Minas Gerais,Não,0.00026567242
barra dos coqueiros,Sergipe,Não,0.000265658
treze tílias,Santa Catarina,Não,0.0002655891
ipumirim,Santa Catarina,Não,0.00026321172
estrela d'oeste,São Paulo,Não,0.00026173002
porto velho,Rondônia,Não,0.00025637966
populina,São Paulo,Não,0.00025620713
luís antônio,São Paulo,Não,0.00025419833
bastos,São Paulo,Não,0.00025362818
russas,Ceará,Não,0.0002527066
rio grande,Rio Grande do Sul,Não,0.00025263266
santa cecília,Santa Catarina,Não,0.00024985374
harmonia,Rio Grande do Sul,Não,0.00024957114
candeias,Bahia,Não,0.00024735666
visconde do rio branco,Minas Gerais,Não,0.0002456232
nova roma do sul,Rio Grande do Sul,Não,0.00024115898
mirassol,São Paulo,Não,0.00024113576
itapira,São Paulo,Não,0.00024077827
tanguá,Rio de Janeiro,Não,0.00023950821
lagoa seca,Paraíba,Não,0.00023937057
itambé,Paraná,Não,0.00023879748
colina,São Paulo,Não,0.00023739864
tapes,Rio Grande do Sul,Não,0.0002358784
são lourenço da mata,Pernambuco,Não,0.0002347879
porto franco,Maranhão,Não,0.00023428701
são gonçalo do amarante,Rio Grande do Norte,Não,0.00023386384
santa terezinha de itaipu,Paraná,Não,0.00023288457
riolândia,São Paulo,Não,0.0002328837
palma sola,Santa Catarina,Não,0.0002304577
